标题,薪资,地点,经验,学历,岗位标签,岗位福利,公司名称,所属行业,融资情况,公司规模,公司规模1,SQL,PYTHON,R,EXCEL,SAS,HIVE,SPSS,PPT,BI,HADOOP,TABLEAU,SPARK,MYSQL,JAVA,ORACLE,LINUX,OFFICE,MATLAB,SVM,ERP,SCALA,PANDAS,NLP,TENSORFLOW,INSIGHTS,POWERBI,MONGODB,GEKKO,HBASE
数据分析师,10k-18k,北京 ,经验1-3年 ,本科及以上 ,"SQL,SPSS,数据运营,数据分析",电影项目分析调研,猫眼电影,文娱丨内容,未融资,500-2000人,500-2000人,T,T,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（智能出行方向）,15k-25k,北京 ,经验1-3年 ,本科及以上 ,"大数据,数据挖掘,数据分析","数据监测,数据分析",嘀嗒出行,汽车丨出行,D轮及以上,崇德基金 挚信资本 IDG 易车网(C轮)，易车(B轮)，IDG(A轮),,F,T,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-30k,北京 ,经验3-5年 ,本科及以上 ,"数据分析,SQL,数据库","弹性工作,六险一金,年度体检,学习氛围",混沌大学,"移动互联网,教育",不需要融资,150-500人,150-500人,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析实习生,6k-8k,北京 ,经验不限 ,本科及以上 ,互联网金融,"牛人团队,带薪年假,16薪考核,快速成长",微聚未来,"移动互联网,金融",不需要融资,500-2000人,500-2000人,F,T,F,F,F,F,F,F,F,T,T,T,T,T,F,F,F,F,F,F,T,F,F,F,F,F,T,F,F
数据分析师（数据产品方向）,8k-15k,北京 ,经验1-3年 ,本科及以上 ,"大数据,数据分析","带薪年假,餐补,采暖补贴,补充医疗保",网信,"金融,移动互联网",不需要融资,500-2000人,500-2000人,T,T,T,T,F,F,F,T,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F
数据分析师,14k-20k,北京 ,经验3-5年 ,本科及以上 ,"数据挖掘,数据分析,Spark",五险一金、带薪年假、周末双休、弹性坐班,有利网,金融,不需要融资,晨兴资本(B轮)，软银中国(A轮)，高瓴资本(C轮),,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析员,5k-7k,北京 ,经验1年以下 ,本科及以上 ,"电商,数据分析","上市公司,六险一金,年度旅游,年度体检",久爱致和,电商,上市公司,150-500人,150-500人,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析专员,8k-12k,北京 ,经验1-3年 ,大专及以上 ,"电商,数据分析",工作环境好，业务增长迅速，人际关系简单,52TOYS,"游戏,广告营销",A轮,启明创投，东方弘道，毅凯资本，阿特拉斯，重庆盛景(A轮)，毅凯资本(天使轮),,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F
资深数据分析师,25k-50k,北京 ,经验5-10年 ,本科及以上 ,"商业,数据运营,数据分析",弹性工作,蘑菇智行,"移动互联网,电商",A轮,150-500人,150-500人,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（高级资深）,15k-30k,北京 ,经验1-3年 ,本科及以上 ,数据分析,六险一金，高薪期权，弹性工作，免费三餐,字节跳动,文娱丨内容,C轮,2000人以上,2000人以上,T,T,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
资深数据分析师,35k-55k,北京 ,经验5-10年 ,本科及以上 ,"Hadoop,ETL,Hive,数据分析",优质平台,贝壳,房产家居,D轮及以上,2000人以上,2000人以上,T,T,T,F,F,T,F,F,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（风控方向）,15k-25k,北京 ,经验1-3年 ,本科及以上 ,"大数据,数据挖掘,数据分析","风控业务,数据分析",嘀嗒出行,汽车丨出行,D轮及以上,崇德基金 挚信资本 IDG 易车网(C轮)，易车(B轮)，IDG(A轮),,T,F,F,F,T,T,T,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F
数据分析,15k-30k,北京 ,经验3-5年 ,本科及以上 ,"数据分析,Hive",大平台，扁平管理，每周免费电影观看,猫眼电影,文娱丨内容,未融资,500-2000人,500-2000人,F,F,F,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
资深数据分析师,25k-50k,北京 ,经验5-10年 ,本科及以上 ,"商业,数据运营,数据分析",弹性工作,蘑菇智行,"移动互联网,电商",A轮,150-500人,150-500人,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,20k-35k,北京 ,经验3-5年 ,本科及以上 ,"移动互联网,数据分析,数据运营",机会多 空间大 ，六险一金 ，12天年假,爱奇艺,文娱丨内容,上市公司,2000人以上,2000人以上,T,T,T,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析工程师,15k-30k,北京 ,经验1-3年 ,本科及以上 ,数据分析,扁平化管理、晋升渠道透明。,洋钱罐,"移动互联网,金融",不需要融资,昆仑万维领投（3.1亿人民币国内最大天使融资）(天使轮),,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,15k-30k,北京 ,经验3-5年 ,本科及以上 ,教育,不打卡 提供三餐 15天年假,洋葱数学,教育,D轮及以上,春华资本、昆仑万维(D轮及以上)，腾讯、君联资本(C轮)，StarVC、青松基金、峰瑞资本(B轮)，FreeS峰瑞资本（A+轮）(A轮)，晨兴基金会（Morningside Foundation）(A轮),,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-30k,北京 ,经验3-5年 ,本科及以上 ,"SPSS,BI,可视化,数据分析",五险一金 绩效奖金 交通补助 带薪年假,畅游,"移动互联网,游戏",上市公司,2000人以上,2000人以上,F,F,T,F,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,18k-30k,北京 ,经验5-10年 ,本科及以上 ,"数据分析,数据运营",公司牛人多,玖富数科集团,金融,D轮及以上,2000人以上,2000人以上,T,T,T,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析经理,15k-30k,北京 ,经验3-5年 ,本科及以上 ,"借贷,数据分析,SQL,数据库",六险一金；节假日福利；旅游基金；各种团建,金山办公软件,移动互联网,上市公司,2000人以上,2000人以上,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,25k-35k,北京 ,经验5-10年 ,本科及以上 ,"电商,数据分析,SPSS,BI,SQL",六险一金、优厚薪资、年度体检、内购会,达令家,电商,D轮及以上,150-500人,150-500人,F,T,T,F,F,F,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析专员,7k-10k,北京 ,经验1年以下 ,本科及以上 ,"数据分析,效果跟踪,新媒体运营",公司资源，发展前景，加班少,笔记侠,移动互联网,A轮,高维资本、原链资本(天使轮),,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析主管,15k-20k,北京 ,经验3-5年 ,本科及以上 ,保险,五险一金，年终奖，免费体检，免费班车,泰康在线,"移动互联网,金融",不需要融资,500-2000人,500-2000人,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析实习生,200k-300k,北京 ,经验不限 ,本科及以上 ,教育,上市公司 包晚餐 零食水果,好未来,教育,上市公司,2000人以上,2000人以上,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
行业数据分析师,15k-30k,北京 ,经验1-3年 ,本科及以上 ,数据分析,六险一金，弹性工作，免费三餐，租房补贴,字节跳动,文娱丨内容,C轮,2000人以上,2000人以上,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析（游戏项目）,15k-25k,北京 ,经验3-5年 ,本科及以上 ,"游戏,大数据,数据分析","年底多薪,弹性办公,精英团队,年度境外游",Zenjoy,"移动互联网,游戏",不需要融资,红杉资本(A轮),,T,F,T,T,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,15k-30k,北京 ,经验3-5年 ,本科及以上 ,数据分析,"六险一金,午餐免费,扁平管理,成长空间大",雪球,金融,D轮及以上,蚂蚁金服(D轮及以上)，人人集团(C轮)，晨兴创投(B轮)，红杉资本(A轮),,T,T,T,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
资深数据分析师 (MJ000237),15k-25k,北京 ,经验3-5年 ,本科及以上 ,"医疗健康,移动互联网,数据分析,SQLServer","五险一金,补充医疗保险,绩效奖金",轻松筹,"移动互联网,金融",C轮,"IDG资本旗下成长基金领投，腾讯、IDG、德同资本、同道资本等老股东跟投(C轮)，IDG(A轮,B轮)",,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,18k-30k,北京 ,经验3-5年 ,本科及以上 ,"电商,数据分析",平台发展前景好,震坤行,电商,D轮及以上,由腾讯领投，钟鼎资本、元生资本、君联资本、经纬中国跟投，华兴资本担任本轮融资的独家财务顾问(D轮及以上),,T,F,F,T,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析主管,15k-30k,北京 ,经验3-5年 ,本科及以上 ,"数据分析,SPSS,SQL",大平台 成长空间大,美团点评,消费生活,上市公司,2000人以上,2000人以上,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析专家(J190415021),15k-30k,北京 ,经验5-10年 ,本科及以上 ,滴滴,弹性工时，免费通勤班车，福利晚餐,滴滴,汽车丨出行,不需要融资,2000人以上,2000人以上,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师商业分析师,18k-28k,北京 ,经验不限 ,本科及以上 ,"电商,新零售,SQL,数据分析,数据运营",平台大， 大牛多，良好的团队氛围,车好多集团,消费生活,D轮及以上,H CAPITAL、招银电信基金、首钢基金、红杉资本、经纬创投、蓝驰创投等(B轮)，红杉资本、光信资本，山行资本、微光创投、风云天使基金、诺伟其投资、经纬中国等(A轮),,T,F,T,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,15k-30k,北京 ,经验3-5年 ,本科及以上 ,数据分析,六险一金，双休，有前景～,蘑菇智行,"移动互联网,电商",A轮,150-500人,150-500人,T,F,F,T,F,F,F,T,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
数据分析专家 (MJ000117),15k-30k,北京 ,经验不限 ,学历不限 ,"运营,APP推广",7险一金 上市公司,新东方在线,"移动互联网,教育",不需要融资,500-2000人,500-2000人,T,T,T,F,F,T,F,F,T,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,20k-30k,北京 ,经验3-5年 ,本科及以上 ,"地图,大数据",专业培训 前沿技术,Esri 中国,"企业服务,数据服务",未融资,150-500人,150-500人,F,T,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师-业务运营方向,18k-35k,北京 ,经验5-10年 ,本科及以上 ,"数据分析,数据运营,SQL,数据库",福利待遇好、带薪年假、弹性工作,贝壳,房产家居,D轮及以上,2000人以上,2000人以上,T,F,F,T,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析工程师,18k-35k,北京 ,经验3-5年 ,本科及以上 ,"数据分析,数据挖掘",明星团队，大牛云集,小米,硬件,D轮及以上,2000人以上,2000人以上,T,T,T,F,T,T,T,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,20k-35k,北京 ,经验5-10年 ,本科及以上 ,"大数据,金融,数据分析,数据运营,SQL",五险一金，餐补，交通便利，环境高大上,瑞银信,"移动互联网,金融",不需要融资,2000人以上,2000人以上,T,T,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师-市场营销部(J13...,15k-25k,北京 ,经验3-5年 ,本科及以上 ,"旅游,商业,数据分析,数据运营",氛围好,去哪儿网,旅游,不需要融资,百度(上市公司)，GGV Capital(C轮)，Mayfield、GSR Ventures、Tenaya Capital(B轮)，Mayfield、GSR Ventures(A轮),,T,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
行业数据分析师,15k-30k,北京 ,经验1-3年 ,本科及以上 ,数据分析,六险一金，弹性工作，免费三餐，租房补贴,字节跳动,文娱丨内容,C轮,2000人以上,2000人以上,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
BI数据分析师数据分析专家...,25k-50k,北京 ,经验3-5年 ,本科及以上 ,"新零售,汽车,BI,可视化,数据分析,SQL","奖金多,股票期权,团队好,领导好",车好多集团,消费生活,D轮及以上,H CAPITAL、招银电信基金、首钢基金、红杉资本、经纬创投、蓝驰创投等(B轮)，红杉资本、光信资本，山行资本、微光创投、风云天使基金、诺伟其投资、经纬中国等(A轮),,T,F,F,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师-市场营销部(J13...,15k-25k,北京 ,经验3-5年 ,本科及以上 ,"旅游,商业,数据分析,数据运营",氛围好,去哪儿网,旅游,不需要融资,百度(上市公司)，GGV Capital(C轮)，Mayfield、GSR Ventures、Tenaya Capital(B轮)，Mayfield、GSR Ventures(A轮),,T,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（社区内容）,20k-40k,北京 ,经验不限 ,本科及以上 ,"BI,数据分析",上升空间大,知乎,社交,D轮及以上,今日资本领投，腾讯、搜狗、启明、赛富、创新工场等原有董事股东全部跟投(D轮及以上)，新投资方是腾讯和搜狗，腾讯领投。软银赛富、启明创投和创新工场跟投(C轮)，2014年6月，知乎获得2200万美元B轮融资，软银赛富领投(B轮)，2012年1月，知乎获得启明创投A轮数百万美元投资(A轮)，2011年1月，知乎获得创新工场百万元天使投资(天使轮),,F,T,T,F,T,F,T,F,F,T,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F
数据分析决策岗（风险管理部）,15k-25k,北京 ,经验3-5年 ,本科及以上 ,"金融,数据分析,数据处理","上升空间大,同事牛人多,薪酬福利好",阳光产险信保事业部,金融,不需要融资,2000人以上,2000人以上,F,T,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析专家,20k-35k,北京 ,经验5-10年 ,本科及以上 ,"BI,可视化,数据分析,数据运营",技术硬，环境佳，近地铁，独角兽背景,Paytm,"电商,移动互联网",不需要融资,2000人以上,2000人以上,T,T,T,T,T,T,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,20k-40k,北京 ,经验5-10年 ,本科及以上 ,"大数据,房产服务,数据分析,MySQL","六险二金,免费三餐,带薪年假,十六薪",贝壳,房产家居,D轮及以上,2000人以上,2000人以上,F,F,T,T,F,T,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师（风控建模方向）,20k-35k,北京 ,经验1-3年 ,硕士及以上 ,数据分析,"独立四合院,免费午餐,周五7小时",中诚信征信,"数据服务,人工智能",不需要融资,150-500人,150-500人,T,T,T,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
流量数据分析,12k-20k,北京 ,经验3-5年 ,本科及以上 ,数据分析,商业运营中心年终奖丰厚16薪起,汽车之家,汽车丨出行,上市公司,2000人以上,2000人以上,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,25k-40k,北京 ,经验3-5年 ,硕士及以上 ,"数据分析,SQL","五险一金,补充医疗,节日福利,带薪年假",ZRobot,"数据服务,企业服务",未融资,50-150人,50-150人,F,T,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,20k-40k,北京 ,经验3-5年 ,本科及以上 ,SQL,成长空间大，三餐免费，七险一金,探探,"移动互联网,社交",D轮及以上,YY、元生资本等(D轮及以上)，融资机构：DST、元璟资本和LB资本共同领投，DCM、贝塔斯曼、KPCB、光亮资本等机构跟投(C轮)，KPCB、DCM、LB、贝塔斯曼(B轮),,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
资深数据分析师,20k-40k,北京 ,经验3-5年 ,本科及以上 ,数据分析,六险一金 年终奖,爱奇艺,文娱丨内容,上市公司,2000人以上,2000人以上,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师-北京,9k-18k,北京 ,经验不限 ,学历不限 ,"数据分析,算法",发展平台好，环境好,久谦咨询,"企业服务,数据服务",未融资,50-150人,50-150人,T,T,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析,7k-14k,北京 ,经验1年以下 ,大专及以上 ,"行业研究,分析师",福利好 待遇高 五险一金,北京盛业恒泰投资有限公司,"移动互联网,金融",不需要融资,150-500人,150-500人,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,20k-35k,北京 ,经验5-10年 ,本科及以上 ,"电商,可视化,商业,数据分析,BI",绩效奖金，五险一金，免费班车，午餐补助,京东集团,电商,上市公司,2000人以上,2000人以上,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,20k-30k,北京 ,经验3-5年 ,本科及以上 ,"移动互联网,SQL,可视化",六险一金，弹性工作，免费三餐，租房补贴,字节跳动,文娱丨内容,C轮,2000人以上,2000人以上,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师-用户方向,10k-20k,北京 ,经验3-5年 ,本科及以上 ,数据分析,"六险一金,扁平化管理,朝阳行业",同程艺龙,旅游,上市公司,万达、腾讯、中信(D轮及以上)，携程(C轮)，腾讯、博裕、元禾(B轮),,T,F,T,T,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师-社会化媒体-北京,6k-8k,北京 ,经验不限 ,本科及以上 ,"大数据,移动互联网,市场分析,数据分析,行业分析,市场",发展空间大、福利待遇各项补贴、专业性高,AdMaster,数据服务,不需要融资,500-2000人,500-2000人,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析专员,9k-11k,北京 ,经验不限 ,本科及以上 ,"移动互联网,视频,数据分析",福利待遇佳，发展前景好,papitube,"文娱丨内容,移动互联网",A轮,50-150人,50-150人,T,T,T,T,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,20k-30k,北京 ,经验3-5年 ,本科及以上 ,数据分析,福利待遇优 发展空间大,CTR,广告营销,D轮及以上,500-2000人,500-2000人,T,T,T,T,T,T,F,F,F,T,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,T,F,T
数据分析Leader,35k-45k,北京 ,经验5-10年 ,本科及以上 ,"BI,数据分析,SQL,数据库","公司平台好,大牛领导,餐补房补",VIPKID,教育,D轮及以上,Coatue、腾讯公司、红杉资本中国基金、云锋基金(D轮及以上)，腾讯、云锋基金、经纬创投、真格基金、ZTwo Capital(D轮及以上)，科比基金战略投资(C轮)，云锋基金、红杉资本(C轮)，北极光创投、经纬中国、红杉资本、创新工场(B轮)，经纬中国、创新工场、红杉资本(A轮)，创新工场(天使轮),,T,T,T,T,F,T,F,T,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F
数据分析经理,25k-35k,北京 ,经验5-10年 ,本科及以上 ,"数据分析,MySQL,SQLServer",发展空间大,联想集团,"移动互联网,数据服务",上市公司,2000人以上,2000人以上,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
资深数据分析师(J190524007),30k-40k,北京 ,经验5-10年 ,学历不限 ,滴滴,成长空间 友爱团队,滴滴,汽车丨出行,不需要融资,2000人以上,2000人以上,T,T,T,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
【外卖配送】数据分析专家,15k-25k,北京 ,经验5-10年 ,本科及以上 ,数据分析,大平台，团队氛围好,美团点评,消费生活,上市公司,2000人以上,2000人以上,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,20k-40k,北京 ,经验5-10年 ,硕士及以上 ,"汽车,地图",自动驾驶 高精地图,亿咖通科技,"移动互联网,硬件",不需要融资,500-2000人,500-2000人,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-30k,北京 ,经验3-5年 ,本科及以上 ,"BI,SPSS,SQL",全国500强 晋升平台,京东集团,电商,上市公司,2000人以上,2000人以上,T,F,F,T,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,25k-30k,北京 ,经验5-10年 ,本科及以上 ,"电商,ETL,数据分析",技术大牛多 职位空间大 成长快,Plum,"电商,消费生活",B轮,150-500人,150-500人,F,F,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,15k-25k,北京 ,经验3-5年 ,本科及以上 ,"大数据,商业,数据分析","六险一金,三餐免费,免费下午茶,各种团建",金山办公软件,移动互联网,上市公司,2000人以上,2000人以上,T,T,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,18k-25k,北京 ,经验3-5年 ,本科及以上 ,教育,免费三餐 15天年假 六险一金 不打卡,洋葱数学,教育,D轮及以上,春华资本、昆仑万维(D轮及以上)，腾讯、君联资本(C轮)，StarVC、青松基金、峰瑞资本(B轮)，FreeS峰瑞资本（A+轮）(A轮)，晨兴基金会（Morningside Foundation）(A轮),,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析专员,6k-10k,北京 ,经验1-3年 ,大专及以上 ,"数据运营,数据分析",五险一金 扁平化管理,叮咚钱包,金融,不需要融资,50-150人,50-150人,T,F,F,T,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师-企业SaaS应用,25k-50k,北京 ,经验3-5年 ,本科及以上 ,hadoop,六险一金，免费三餐，租房补贴，休闲下午茶,字节跳动,文娱丨内容,C轮,2000人以上,2000人以上,T,F,F,F,F,T,F,F,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师(J10149),7k-12k,北京 ,经验1-3年 ,本科及以上 ,大数据,空间大 平台好 福利多,AdMaster,数据服务,不需要融资,500-2000人,500-2000人,T,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析总监-北京-04771,20k-26k,北京 ,经验5-10年 ,本科及以上 ,"游戏,数据分析,数据运营",MMO项目；游戏数据分析,龙图游戏,游戏,不需要融资,500-2000人,500-2000人,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（校招）,10k-20k,北京 ,经验应届毕业生 ,本科及以上 ,商业,快速发展，七险一金、薪酬给力，大牛导师,数美,"企业服务,数据服务",B轮,数美科技获1000万美元A轮融资，顺为资本、清流资本、百度风投、360投资(A轮),,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析岗（物流运营数据）,15k-20k,北京 ,经验3-5年 ,本科及以上 ,"物流,数据分析,数据处理,SQLServer",发展空间大 业务高效 团队氛围愉悦,京东物流,物流丨运输,上市公司,2000人以上,2000人以上,T,T,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析实习,2k-4k,北京 ,经验应届毕业生 ,本科及以上 ,"汽车,Hive,数据分析",报酬优厚、空间广阔、成长迅速、福利众多,滴滴,汽车丨出行,不需要融资,2000人以上,2000人以上,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析,10k-20k,北京 ,经验3-5年 ,本科及以上 ,数据,大平台，发展空间大,美团点评,消费生活,上市公司,2000人以上,2000人以上,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,18k-35k,北京 ,经验5-10年 ,本科及以上 ,"教育,移动互联网,数据分析,商业,BI,数据运营",扁平化管理，氛围轻松,考虫网,教育,D轮及以上,150-500人,150-500人,T,F,F,T,F,T,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,25k-50k,北京 ,经验5-10年 ,本科及以上 ,"商业,BI,数据分析,SQL",??核心团队、精英文化、优秀的团队氛围,爱奇艺,文娱丨内容,上市公司,2000人以上,2000人以上,T,T,T,T,T,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
初级数据分析师,12k-18k,北京 ,经验不限 ,本科及以上 ,"游戏,BI,数据分析,商业,SQL",游戏出海 行业前三 国际化团队,Magic Tavern,游戏,不需要融资,150-500人,150-500人,T,F,T,T,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,20k-35k,北京 ,经验3-5年 ,本科及以上 ,"大数据,数据挖掘,数据分析","技术提升,14薪以上,提供三餐,年度旅行",金山办公软件,移动互联网,上市公司,2000人以上,2000人以上,T,T,T,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,20k-30k,北京 ,经验5-10年 ,本科及以上 ,"分析,财务","班车,餐补",京东数字科技,金融,上市公司,2000人以上,2000人以上,T,T,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
