标题,薪资,地点,经验,学历,岗位标签,岗位福利,公司名称,所属行业,融资情况,公司规模,公司规模1,SQL,PYTHON,R,EXCEL,SAS,HIVE,SPSS,PPT,BI,HADOOP,TABLEAU,SPARK,MYSQL,JAVA,ORACLE,LINUX,OFFICE,MATLAB,SVM,ERP,SCALA,PANDAS,NLP,TENSORFLOW,INSIGHTS,POWERBI,MONGODB,GEKKO,HBASE
高级数据分析师,20k-35k,北京 ,经验3-5年 ,本科及以上 ,"可视化,数据分析,SPSS,数据库",发展空间大，早十晚七不打卡,蛋壳公寓,消费生活,C轮,2000人以上,2000人以上,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
高级数据分析师,20k-35k,北京 ,经验5-10年 ,本科及以上 ,"数据分析,数据运营,SQL,BI","14薪,五险一金,晋升快,扁平管理",水滴互助,"移动互联网,医疗丨健康",B轮,腾讯领投，高榕资本，IDG资本，蓝驰创投，创新工场(B轮),,T,T,T,F,F,F,F,F,F,T,F,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
商业数据分析,6k-10k,北京 ,经验1-3年 ,本科及以上 ,"移动互联网,数据分析,行业分析",成长空间，六险一金，公司食堂,拉勾网,企业服务,D轮及以上,"东方弘道(C轮,天使轮)，真格基金(天使轮)，前程无忧(D轮及以上)，启明创投，贝塔斯曼(B轮)，贝塔斯曼(A轮)",,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师实习生,8k-10k,北京 ,经验应届毕业生 ,本科及以上 ,数据挖掘,免费三餐，租房补贴，休闲下午茶，扁平管理,字节跳动,文娱丨内容,C轮,2000人以上,2000人以上,T,T,T,F,F,F,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析岗,12k-24k,北京 ,经验3-5年 ,本科及以上 ,"物流,SQLServer",SQL、AI、数据开发,京东物流,物流丨运输,上市公司,2000人以上,2000人以上,T,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析助理,5k-6k,北京 ,经验不限 ,本科及以上 ,数据分析,老板nice，年轻团队，帅哥美女多！,骨朵传媒,移动互联网,A轮,15-50人,15-50人,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析助理工程师,8k-10k,北京 ,经验不限 ,本科及以上 ,"医疗健康,数据分析,数据处理",可接触到行业内顶尖师资力量，跟随一起学习,亿脑科技,"硬件,人工智能",未融资,15-50人,15-50人,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（数据策略方向）,15k-30k,北京 ,经验3-5年 ,本科及以上 ,"电商,汽车,商业,SQL,SPSS,数据分析","股票期权,独角兽,领导好,团队好",车好多集团,消费生活,D轮及以上,H CAPITAL、招银电信基金、首钢基金、红杉资本、经纬创投、蓝驰创投等(B轮)，红杉资本、光信资本，山行资本、微光创投、风云天使基金、诺伟其投资、经纬中国等(A轮),,T,T,T,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-25k,北京 ,经验1-3年 ,本科及以上 ,"商业,数据分析,SPSS,SQL",科技驱动 年度旅游 弹性工作 福利充足,洋钱罐,"移动互联网,金融",不需要融资,昆仑万维领投（3.1亿人民币国内最大天使融资）(天使轮),,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,10k-20k,北京 ,经验不限 ,学历不限 ,"大数据,数据分析","五险一金,周末双休,绩效奖金,午餐补贴",北京华悦数金,"移动互联网,金融",不需要融资,2000人以上,2000人以上,F,F,F,F,T,F,T,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
