单词,数量,城市,,,,,
Hadoop,5,杭州,,,,,
Hive,5,武汉,,,,,
Html,5,杭州,,,,,
Ishumei,5,杭州,,,,,
K,5,上海,,,,,
Kettle,5,上海,,,,,
Mapreduce,5,北京,,,,,
Mongodb,5,北京,,,,,
Mysql,5,杭州,,,,,
Office,5,北京,,,,,
Office,5,广州,,,,,
Office,5,广州,,,,,
Online,5,上海,,,,,
Our,5,广州,,,,,
Owner,5,北京,,,,,
P,5,北京,,,,,
Pandas,5,广州,,,,,
Powerbi,5,上海,,,,,
Presto,5,上海,,,,,
Processes,5,上海,,,,,
Product,5,北京,,,,,
Scala,5,广州,,,,,
Spss,5,北京,,,,,
Spss,5,成都,,,,,
Spss,5,上海,,,,,
Stakeholders,5,上海,,,,,
Storm,5,广州,,,,,
Svm,5,北京,,,,,
Tableau,5,杭州,,,,,
Tensorflow,5,上海,,,,,
Through,5,上海,,,,,
Udesk,5,北京,,,,,
Understand,5,上海,,,,,
Vba,5,北京,,,,,
Word,5,北京,,,,,
Yimba,5,广州,,,,,
Ab,6,上海,,,,,
Aboutus,6,北京,,,,,
Ai,6,北京,,,,,
Ai,6,广州,,,,,
App,6,上海,,,,,
As,6,上海,,,,,
Bi,6,成都,,,,,
C,6,北京,,,,,
C,6,上海,,,,,
Com,6,杭州,,,,,
Crm,6,上海,,,,,
Erp,6,北京,,,,,
Erp,6,广州,,,,,
Experience,6,上海,,,,,
Finsight,6,北京,,,,,
For,6,广州,,,,,
Have,6,上海,,,,,
Java,6,北京,,,,,
Java,6,广州,,,,,
Kol,6,北京,,,,,
Mdm,6,广州,,,,,
Mysql,6,杭州,,,,,
Oracle,6,成都,,,,,
Other,6,上海,,,,,
Pacer,6,北京,,,,,
Powerbi,6,北京,,,,,
Ppt,6,北京,,,,,
Ppt,6,成都,,,,,
Python,6,广州,,,,,
Sas,6,上海,,,,,
Scala,6,上海,,,,,
Server,6,上海,,,,,
Spark,6,杭州,,,,,
Team,6,北京,,,,,
Test,6,北京,,,,,
Working,6,上海,,,,,
Www,6,杭州,,,,,
Growth,7,广州,,,,,
Hadoop,7,北京,,,,,
Hql,7,北京,,,,,
Insights,7,上海,,,,,
Matlab,7,上海,,,,,
Mysql,7,北京,,,,,
Oracle,7,杭州,,,,,
Oracle,7,上海,,,,,
Pca,7,上海,,,,,
Performance,7,广州,,,,,
Ppt,7,武汉,,,,,
Ppt,7,上海,,,,,
Scala,7,北京,,,,,
Shell,7,北京,,,,,
Shell,7,上海,,,,,
Spss,7,武汉,,,,,
Svm,7,广州,,,,,
Team,7,上海,,,,,
Top,7,北京,,,,,
With,7,广州,,,,,
You,7,广州,,,,,
App,8,广州,,,,,
Excel,8,武汉,,,,,
Excel,8,杭州,,,,,
Gekko,8,广州,,,,,
Hive,8,北京,,,,,
Hr,8,北京,,,,,
Knowledge,8,上海,,,,,
Lab,8,广州,,,,,
Linux,8,广州,,,,,
Mysql,8,广州,,,,,
O,8,广州,,,,,
Office,8,北京,,,,,
Office,8,上海,,,,,
Plus,8,上海,,,,,
Sas,8,武汉,,,,,
Sas,8,北京,,,,,
Sas,8,成都,,,,,
Shell,8,广州,,,,,
Will,8,上海,,,,,
With,8,杭州,,,,,
Excel,9,武汉,,,,,
It,9,上海,,,,,
Java,9,杭州,,,,,
Mysql,9,广州,,,,,
Nlp,9,广州,,,,,
Of,9,广州,,,,,
Office,9,上海,,,,,
P,9,广州,,,,,
Python,9,武汉,,,,,
Spark,9,北京,,,,,
C,10,北京,,,,,
Data,10,北京,,,,,
Excel,10,成都,,,,,
Excel,10,杭州,,,,,
Hadoop,10,杭州,,,,,
It,10,北京,,,,,
Linux,10,北京,,,,,
Linux,10,北京,,,,,
R,10,成都,,,,,
And,11,北京,,,,,
Etl,11,广州,,,,,
Hive,11,杭州,,,,,
Hive,11,杭州,,,,,
Kpi,11,广州,,,,,
Oracle,11,北京,,,,,
Python,11,上海,,,,,
Vba,11,广州,,,,,
And,12,杭州,,,,,
Html,12,北京,,,,,
Https,12,北京,,,,,
Spark,12,上海,,,,,
The,12,广州,,,,,
Vba,12,上海,,,,,
Data,13,杭州,,,,,
Etl,13,杭州,,,,,
Hadoop,13,上海,,,,,
Java,13,上海,,,,,
Kpi,13,北京,,,,,
Linux,13,广州,,,,,
Mysql,13,北京,,,,,
Mysql,13,广州,,,,,
Python,13,武汉,,,,,
Python,13,成都,,,,,
Svm,13,上海,,,,,
Tableau,13,广州,,,,,
Java,15,北京,,,,,
Java,15,广州,,,,,
Mysql,15,上海,,,,,
Oracle,15,广州,,,,,
Oracle,15,上海,,,,,
R,15,武汉,,,,,
Sql,15,杭州,,,,,
Ab,16,北京,,,,,
Bi,16,杭州,,,,,
Excel,16,广州,,,,,
Sales,16,广州,,,,,
Tableau,16,上海,,,,,
Ishumei,17,北京,,,,,
Tableau,17,广州,,,,,
Hadoop,18,广州,,,,,
Mysql,18,北京,,,,,
Com,19,北京,,,,,
Excel,19,广州,,,,,
Kpi,19,上海,,,,,
Spark,19,广州,,,,,
Www,19,北京,,,,,
Etl,20,北京,,,,,
Mysql,20,上海,,,,,
Sql,20,成都,,,,,
With,20,上海,,,,,
C,21,广州,,,,,
Hive,21,广州,,,,,
Python,21,杭州,,,,,
Hive,23,广州,,,,,
Sql,23,武汉,,,,,
Sql,23,广州,,,,,
Tableau,23,北京,,,,,
Spark,25,广州,,,,,
Spss,25,杭州,,,,,
Excel,26,杭州,,,,,
Ppt,26,杭州,,,,,
Excel,28,北京,,,,,
In,28,上海,,,,,
Spark,28,上海,,,,,
Etl,29,上海,,,,,
Excel,29,上海,,,,,
Spark,29,北京,,,,,
Data,30,上海,,,,,
Of,30,上海,,,,,
And,31,广州,,,,,
Excel,32,上海,,,,,
Hive,32,北京,,,,,
The,32,上海,,,,,
Hadoop,33,广州,,,,,
Hive,33,上海,,,,,
Ppt,33,广州,,,,,
Hadoop,34,北京,,,,,
Sas,35,杭州,,,,,
Sql,35,上海,,,,,
Tableau,35,上海,,,,,
Hadoop,37,上海,,,,,
Excel,41,广州,,,,,
Hive,42,上海,,,,,
Sql,42,北京,,,,,
Tableau,42,北京,,,,,
Python,43,上海,,,,,
Bi,44,广州,,,,,
Spss,46,广州,,,,,
To,48,上海,,,,,
Excel,49,北京,,,,,
Python,49,杭州,,,,,
Bi,55,北京,,,,,
Ppt,55,上海,,,,,
Python,56,北京,,,,,
R,58,杭州,,,,,
Bi,59,上海,,,,,
Ppt,59,北京,,,,,
Python,59,广州,,,,,
Hive,65,北京,,,,,
Sas,68,广州,,,,,
Spss,78,上海,,,,,
Excel,82,上海,,,,,
And,85,上海,,,,,
Spss,85,北京,,,,,
Sql,91,杭州,,,,,
Sas,98,北京,,,,,
Python,99,广州,,,,,
Excel,106,北京,,,,,
R,106,广州,,,,,
Sas,112,上海,,,,,
Sql,157,广州,,,,,
Python,159,上海,,,,,
R,174,上海,,,,,
Python,175,北京,,,,,
R,189,北京,,,,,
Sql,269,上海,,,,,
Sql,281,北京,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
