地点,标题,岗位标签,岗位福利,公司规模,公司名称,经验,融资情况,薪资,学历,所属行业
深圳,数据分析师,"SPSS,SQL,可视化,数据分析",发展前景好、晋升空间大,15-50人,博函技术,经验3-5年,不需要融资,6k-12k,本科及以上,"移动互联网,企业服务"
深圳,数据分析师,"SPSS,数据库,SQL","平台大,创新型,有挑战",50-150人,深圳白骑士大数据有限公司,经验1-3年,A轮,8k-15k,本科及以上,"企业服务,金融"
深圳,数据分析师,SQL,待遇好，平台大，氛围好,,喜茶,经验5-10年,B轮,10k-15k,大专及以上,"移动互联网,消费生活"
深圳,数据分析师,大数据,稳定 不加班 行业权威,50-150人,闻善科技,经验5-10年,不需要融资,15k-25k,本科及以上,"移动互联网,硬件"
深圳,数据分析师,"大数据,Hive,数据分析",发展平台大 工作氛围佳,,魅族,经验1-3年,A轮,10k-15k,本科及以上,"移动互联网,硬件"
深圳,数据分析师,"大数据,MySQL","发展空间大,加薪空间大,能力说话",,BDS大数易,经验3-5年,天使轮,10k-16k,本科及以上,人工智能
深圳,数据分析师,"大数据,工具软件,BI,SQL,数据库,数据分析",牛人团队 成长空间 期权激励 独当一面,50-150人,观远数据,经验1-3年,A轮,15k-30k,本科及以上,"企业服务,数据服务"
深圳,数据分析师,"大数据,互联网金融",福利待遇高，老板好，技术牛人多，发展好,15-50人,德方智链,经验5-10年,不需要融资,18k-25k,本科及以上,"移动互联网,金融"
深圳,数据分析师,"大数据,基金,BI,数据分析,DBA,SQL",行业发展前景广阔，大数据和人工智能技术。,,Deep Lens Fund,经验3-5年,未融资,15k-30k,本科及以上,"金融,数据服务"
深圳,数据分析师,"大数据,企业服务,BI",大数据,50-150人,卓轩科技,经验1-3年,A轮,12k-20k,本科及以上,"移动互联网,电商"
深圳,数据分析师,"大数据,数据分析","发展空间,公司福利好",150-500人,微众税银,经验不限,D轮及以上,10k-18k,硕士及以上,"金融,数据服务"
深圳,数据分析师,"大数据,数据分析","六险一金,带薪年假,绩效奖金,年底双薪",,百融云创,经验3-5年,C轮,10k-20k,本科及以上,金融
深圳,数据分析师,"大数据,数据分析",有牛人,50-150人,深圳妈妈资本,经验1-3年,A轮,15k-30k,本科及以上,金融
深圳,数据分析师,"大数据,数据库,数据分析","五险一金,晋升通道,年轻团队,环境舒适",50-150人,深圳洽客科技,经验3-5年,天使轮,10k-20k,本科及以上,"金融,移动互联网"
深圳,数据分析师,"大数据,数据挖掘,数据分析",驱动开发，团队年轻，牛人指导,,风变科技（深圳）有限公司,经验1-3年,A轮,10k-15k,硕士及以上,"移动互联网,教育"
深圳,数据分析师,"大数据,银行,风控","五险一金,商业保险,弹性工作,福利补贴",,百融云创,经验1-3年,C轮,10k-20k,本科及以上,金融
深圳,数据分析师,"大数据,云计算,数据分析",五险一金、年底双薪、全勤奖、餐补,15-50人,菲凡数据,经验3-5年,未融资,12k-20k,学历不限,"电商,数据服务"
深圳,数据分析师,"电商,数据分析",晋升空间大,15-50人,油柑网,经验1-3年,未融资,8k-15k,本科及以上,电商
深圳,数据分析师,"电商,数据分析,商业",上市公司 福利待遇优厚,2000人以上,环球易购,经验不限,上市公司,8k-15k,本科及以上,电商
深圳,数据分析师,"电商,移动互联网,数据分析",发展前景好,50-150人,深圳市沃客非凡科技有限公司,经验1-3年,B轮,10k-20k,本科及以上,"电商,移动互联网"
深圳,数据分析师,"互联网金融,风控,分析师",催收策略 数据分析 数据模型,,我来贷WeLab,经验3-5年,B轮,15k-25k,本科及以上,金融
深圳,数据分析师,"互联网金融,借贷",发展前景好 晋升空间大,150-500人,艾格拉斯,经验3-5年,上市公司,12k-24k,本科及以上,游戏
深圳,数据分析师,"互联网金融,数据分析,数据挖掘","领导好,发展空间",500-2000人,飞贷金融科技,经验3-5年,B轮,15k-25k,本科及以上,"移动互联网,金融"
深圳,数据分析师,"教育,移动互联网,SQL,SPSS","五险一金,周末双休,健身俱乐部,带薪年假",2000人以上,阿卡索外教网,经验3-5年,C轮,18k-30k,本科及以上,"教育,移动互联网"
深圳,数据分析师,金融,六险一金 各种活动 周末双休 扁平化管理,2000人以上,恒信永利,经验1-3年,不需要融资,10k-15k,本科及以上,金融
