地点,标题,岗位标签,岗位福利,公司规模,公司名称,经验,融资情况,薪资,学历,所属行业
北京,【外卖】产品运营-数据分析方向,数据,发展空间大,2000人以上,美团点评,经验3-5年,上市公司,15k-30k,本科及以上,消费生活
北京,【外卖配送】数据分析专家,数据分析,大平台，团队氛围好,2000人以上,美团点评,经验5-10年,上市公司,15k-25k,本科及以上,消费生活
北京,09216M-数据分析师,"互联网金融,保险","五险一金,节日福利,定期体检,年底双薪",500-2000人,平安健康保险,经验3-5年,未融资,15k-20k,本科及以上,金融
北京,23048-数据分析师,"数据挖掘,数据分析","大平台,新领域,大咖多",2000人以上,腾讯,经验3-5年,上市公司,18k-36k,本科及以上,社交
北京,BI-数据分析高级专家10653,"电商,新零售","弹性工作,股票期权,空间大",,车好多集团,经验5-10年,D轮及以上,25k-50k,本科及以上,消费生活
北京,BI数据分析师/数据分析专家...,"新零售,汽车,BI,可视化,数据分析,SQL","奖金多,股票期权,团队好,领导好",,车好多集团,经验3-5年,D轮及以上,25k-50k,本科及以上,消费生活
北京,Senior Data Analyst,"大数据,移动互联网,数据分析,SQL,数据库","国际化团队,工程师文化 移动应用",150-500人,AppAnnie,经验3-5年,D轮及以上,15k-30k,本科及以上,移动互联网
北京,财新收费板块数据分析师,数据分析,五险一金，补充医疗，餐补，交通补贴,150-500人,财新传媒,经验5-10年,A轮,20k-40k,本科及以上,文娱丨内容
北京,产品运营-数据分析方向,数据分析,"六险一金,绩效奖金,节日福利,按摩椅",150-500人,北京智胜新格科技有限...,经验1-3年,不需要融资,8k-15k,本科及以上,"移动互联网,游戏"
北京,初级数据分析师,"教育,BI,SQL",带薪病假 不打卡 提供三餐,,洋葱数学,经验1-3年,D轮及以上,7k-13k,本科及以上,教育
北京,初级数据分析师,"游戏,BI,数据分析,商业,SQL",游戏出海 行业前三 国际化团队,150-500人,Magic Tavern,经验不限,不需要融资,12k-18k,本科及以上,游戏
北京,大数据分析师,大数据,五险一金 带薪年假,500-2000人,Synnex China,经验3-5年,上市公司,15k-25k,本科及以上,电商
北京,大数据分析师,"教育,算法,数据挖掘,数据分析","发展空间大,待遇高,各种补贴",150-500人,泛钛客,经验不限,A轮,10k-20k,本科及以上,"金融,数据服务"
北京,大数据分析师,数据分析,福利前景好,2000人以上,建信金科,经验5-10年,不需要融资,30k-40k,硕士及以上,"金融,不限"
北京,大数据分析师,数据分析,五险一金 带薪年假 领导好,150-500人,赛思股份,经验5-10年,上市公司,25k-30k,学历不限,数据服务
北京,大数据分析师（自然语言处理...,"金融,NLP,算法,数据分析","发展空间大,待遇高,各种补贴",150-500人,泛钛客,经验不限,A轮,10k-20k,本科及以上,"金融,数据服务"
北京,大数据研发工程师-大数据分...,"算法,搜索,数据挖掘,数据分析","团队稳定,周末双休,薪资待遇好",,有利网,经验3-5年,不需要融资,18k-35k,本科及以上,金融
北京,风险计量部-数据分析师,数据分析,六险一金 带薪年假 节日福利,500-2000人,贝壳金服,经验不限,未融资,15k-30k,本科及以上,金融
北京,服务体验部-资深数据分析师,"SQL,商业",稳定平台大发展,2000人以上,美团点评,经验3-5年,上市公司,15k-24k,本科及以上,消费生活
北京,高级/资深数据分析师,数据分析,"六险一金,扁平化管理,朝阳行业",,同程艺龙,经验3-5年,上市公司,15k-30k,本科及以上,旅游
北京,高级数据产品经理/数据分析,"大数据,数据分析","上市公司,年终奖金,七险一金",2000人以上,好未来,经验5-10年,上市公司,18k-35k,本科及以上,教育
北京,高级数据分析,数据,大平台，发展空间大,2000人以上,美团点评,经验3-5年,上市公司,10k-20k,本科及以上,消费生活
北京,高级数据分析工程师(J12372),"数据挖掘,数据仓库,数据分析,Hadoop",七险一金，三餐免费，交通补助，节假福利,,作业帮,经验不限,D轮及以上,28k-55k,本科及以上,工具
北京,高级数据分析师,SQL,成长空间大，三餐免费，七险一金,,探探,经验3-5年,D轮及以上,20k-40k,本科及以上,"移动互联网,社交"
北京,高级数据分析师,"保险,增长黑客,数据分析,可视化,数据运营",五险一金、餐补、交通补、补充医疗、氛围好,2000人以上,阳光保险集团,经验3-5年,不需要融资,15k-25k,硕士及以上,金融
北京,高级数据分析师,大数据,全额社保；商业保险；各种补贴；下午茶等,150-500人,绿湾科技,经验3-5年,B轮,20k-35k,学历不限,"企业服务,数据服务"
北京,高级数据分析师,"大数据,房产服务,数据分析,MySQL","六险二金,免费三餐,带薪年假,十六薪",2000人以上,贝壳,经验5-10年,D轮及以上,20k-40k,本科及以上,房产家居
北京,高级数据分析师,"大数据,金融,BI,数据分析","金融互联网,发展空间,合作团队,大牛多",150-500人,百信银行,经验5-10年,不需要融资,30k-50k,本科及以上,金融
北京,高级数据分析师,"大数据,金融,数据分析,数据运营,SQL",五险一金，餐补，交通便利，环境高大上,2000人以上,瑞银信,经验5-10年,不需要融资,20k-35k,本科及以上,"移动互联网,金融"
北京,高级数据分析师,"大数据,汽车,Java,数据挖掘,数据处理,算法","行业风口,大牛带路,扁平化,环境好",150-500人,K2DATA,经验3-5年,B轮,15k-25k,硕士及以上,数据服务
北京,高级数据分析师,"大数据,商业,数据分析","经营分析,数据分析,市场分析,行业调研",,拉勾网,经验5-10年,D轮及以上,20k-40k,本科及以上,企业服务
北京,高级数据分析师,"大数据,商业,数据分析","六险一金,三餐免费,免费下午茶,各种团建",2000人以上,金山办公软件,经验3-5年,上市公司,15k-25k,本科及以上,移动互联网
北京,高级数据分析师,"大数据,数据挖掘,数据分析","技术提升,14薪以上,提供三餐,年度旅行",2000人以上,金山办公软件,经验3-5年,上市公司,20k-35k,本科及以上,移动互联网
北京,高级数据分析师,"地图,大数据",专业培训 前沿技术,150-500人,Esri 中国,经验3-5年,未融资,20k-30k,本科及以上,"企业服务,数据服务"
北京,高级数据分析师,"电商,ETL,数据分析",技术大牛多 职位空间大 成长快,150-500人,Plum,经验5-10年,B轮,25k-30k,本科及以上,"电商,消费生活"
北京,高级数据分析师,"电商,数据分析",平台发展前景好,,震坤行,经验3-5年,D轮及以上,18k-30k,本科及以上,电商
北京,高级数据分析师,"电商,数据分析,SPSS,BI,SQL",六险一金、优厚薪资、年度体检、内购会,150-500人,达令家,经验5-10年,D轮及以上,25k-35k,本科及以上,电商
北京,高级数据分析师,"电商,移动互联网,可视化,数据分析,数据运营,增长黑客","项目奖金，五险一金,期权,多样福利",,果粒科技,经验5-10年,A轮,20k-35k,本科及以上,"移动互联网,金融"
北京,高级数据分析师,"互联网金融,借贷,SQL,可视化,数据分析,SPSS",弹性工作，五险一金，节日福利,500-2000人,度小满金融,经验5-10年,A轮,25k-50k,本科及以上,金融
北京,高级数据分析师,"互联网金融,借贷,数据分析,MySQL,Spark",七险一金、15-20薪、牛人团队,500-2000人,微聚未来,经验3-5年,不需要融资,20k-40k,本科及以上,"移动互联网,金融"
北京,高级数据分析师,"互联网金融,移动互联网,BI,数据分析,SQL",七险一金 免费午餐 发展空间大,,闪银奇异,经验5-10年,D轮及以上,20k-35k,本科及以上,"移动互联网,金融"
北京,高级数据分析师,教育,不打卡 提供三餐 15天年假,,洋葱数学,经验3-5年,D轮及以上,15k-30k,本科及以上,教育
北京,高级数据分析师,教育,免费三餐 15天年假 六险一金 不打卡,,洋葱数学,经验3-5年,D轮及以上,18k-25k,本科及以上,教育
北京,高级数据分析师,"教育,移动互联网,数据分析,商业,BI,数据运营",扁平化管理，氛围轻松,150-500人,考虫网,经验5-10年,D轮及以上,18k-35k,本科及以上,教育
北京,高级数据分析师,"可视化,数据分析,SPSS,数据库",发展空间大，早十晚七不打卡,2000人以上,蛋壳公寓,经验3-5年,C轮,20k-35k,本科及以上,消费生活
北京,高级数据分析师,"汽车,地图",自动驾驶 高精地图,500-2000人,亿咖通科技,经验5-10年,不需要融资,20k-40k,硕士及以上,"移动互联网,硬件"
北京,高级数据分析师,"商业,BI,数据分析,SQL",​核心团队、精英文化、优秀的团队氛围,2000人以上,爱奇艺,经验5-10年,上市公司,25k-50k,本科及以上,文娱丨内容
北京,高级数据分析师,数据分析,6险一金 带薪年假 优质环境 家文化,150-500人,达令家,经验3-5年,D轮及以上,20k-35k,本科及以上,电商
北京,高级数据分析师,数据分析,扁平化管理 旅游基金 离地铁2分钟,,发现旅行,经验5-10年,B轮,25k-35k,本科及以上,旅游
北京,高级数据分析师,数据分析,福利待遇 发展空间,500-2000人,度小满金融,经验3-5年,A轮,18k-36k,硕士及以上,金融
北京,高级数据分析师,数据分析,福利待遇优 发展空间大,500-2000人,CTR,经验3-5年,D轮及以上,20k-30k,本科及以上,广告营销
北京,高级数据分析师,数据分析,"公司平台好,大牛领导,餐补房补",,VIPKID,经验5-10年,D轮及以上,20k-38k,本科及以上,教育
北京,高级数据分析师,数据分析,六险一金，双休，有前景～,150-500人,蘑菇智行,经验3-5年,A轮,15k-30k,本科及以上,"移动互联网,电商"
北京,高级数据分析师,数据分析,"六险一金,午餐免费,扁平管理,成长空间大",,雪球,经验3-5年,D轮及以上,15k-30k,本科及以上,金融
北京,高级数据分析师,"数据分析,SQL","五险一金,补充医疗,节日福利,带薪年假",50-150人,ZRobot,经验3-5年,未融资,25k-40k,硕士及以上,"数据服务,企业服务"
北京,高级数据分析师,"数据分析,数据运营,SQL,BI","14薪,五险一金,晋升快,扁平管理",,水滴互助,经验5-10年,B轮,20k-35k,本科及以上,"移动互联网,医疗丨健康"
北京,高级数据分析师,"移动互联网,房产服务,数据分析,MySQL,数据挖掘",发展空间、六险一金、加班补助,2000人以上,蛋壳公寓,经验5-10年,C轮,30k-60k,本科及以上,消费生活
北京,高级数据分析师,"游戏,移动互联网,BI,SQL,数据分析,SPSS",游戏出海 行业前三 国际化团队,150-500人,Magic Tavern,经验3-5年,不需要融资,25k-30k,本科及以上,游戏
北京,高级数据分析师(J10149),大数据,空间大 平台好 福利多,500-2000人,AdMaster,经验1-3年,不需要融资,7k-12k,本科及以上,数据服务
北京,高级数据分析师(J10205),数据分析,五险一金+14薪+弹性工作,,会分期,经验3-5年,D轮及以上,15k-30k,本科及以上,"移动互联网,金融"
北京,高级数据分析师(J190605003),滴滴,高速成长，核心业务,2000人以上,滴滴,经验1-3年,不需要融资,20k-30k,本科及以上,汽车丨出行
北京,高级数据分析师（保险）,"数据挖掘,数据分析","五险一金,带薪年假,发展空间大,弹性工作",,同盾科技,经验5-10年,C轮,25k-35k,本科及以上,"信息安全,数据服务"
北京,高级数据分析师（保险）-北京...,"数据挖掘,算法",机会,,同盾科技,经验3-5年,C轮,18k-36k,本科及以上,"信息安全,数据服务"
北京,高级数据分析师(财务),数据分析,技术大牛，工作氛围好，行业领先,150-500人,永洪科技,经验5-10年,C轮,20k-30k,本科及以上,企业服务
北京,高级数据分析师（风控建模方向）,数据分析,"独立四合院,免费午餐,周五7小时",150-500人,中诚信征信,经验1-3年,不需要融资,20k-35k,硕士及以上,"数据服务,人工智能"
北京,高级数据分析师／Leader,数据分析,快速发展 团队氛围好,,映客,经验5-10年,上市公司,25k-35k,本科及以上,文娱丨内容
北京,高级数据分析师-市场营销部...,"旅游,增长黑客,数据分析,数据运营",氛围好,,去哪儿网,经验5-10年,不需要融资,25k-30k,本科及以上,旅游
北京,行业数据分析师,数据分析,六险一金，弹性工作，免费三餐，租房补贴,2000人以上,字节跳动,经验1-3年,C轮,15k-30k,本科及以上,文娱丨内容
北京,流量方向资深数据分析师,"新零售,汽车,可视化,SPSS,SQL,数据分析","奖金多,股票期权,团队好,领导好",,车好多集团,经验3-5年,D轮及以上,20k-40k,本科及以上,消费生活
北京,流量数据分析,数据分析,商业运营中心年终奖丰厚16薪起,2000人以上,汽车之家,经验3-5年,上市公司,12k-20k,本科及以上,汽车丨出行
北京,平台数据分析师,"视频,数据分析,数据处理,数据架构",六险一金、超长年假、轻松的工作环境,2000人以上,爱奇艺,经验3-5年,上市公司,18k-35k,本科及以上,文娱丨内容
北京,平台数据分析师,"数据分析,数据运营",6险一金 12天年假,2000人以上,爱奇艺,经验3-5年,上市公司,20k-35k,本科及以上,文娱丨内容
北京,商品数据分析,"电商,新零售,商业,SQL,数据分析",商业补充医疗，弹性工作，年度体检,,多点Dmall,经验5-10年,C轮,16k-25k,本科及以上,"电商,消费生活"
北京,商业产品实习生-数据分析,产品经理,弹性工作，免费三餐，餐补，租房补贴,2000人以上,字节跳动,经验不限,C轮,4k-5k,本科及以上,文娱丨内容
北京,商业分析中心-数据分析师,"移动互联网,数据分析","有挑战业务,智能营销,团队融洽",2000人以上,搜狗,经验5-10年,上市公司,20k-40k,本科及以上,工具
北京,商业化数据分析师,"汽车,新零售,数据运营,SQL,数据分析,商业",平台大，发展空间大,,车好多集团,经验不限,D轮及以上,20k-40k,本科及以上,消费生活
北京,商业数据分析,"移动互联网,数据分析,行业分析",成长空间，六险一金，公司食堂,,拉勾网,经验1-3年,D轮及以上,6k-10k,本科及以上,企业服务
北京,商业数据分析师,"Hive,MySQL","硅谷独角兽,独角兽,纯英文办公",2000人以上,Airbnb,经验3-5年,D轮及以上,20k-40k,学历不限,移动互联网
北京,商业数据分析师,"大数据,工具软件,数据分析,增长黑客（GrowthHacking）","五险一金,地铁周边,不打卡,包餐",,GrowingIO,经验3-5年,B轮,20k-40k,本科及以上,"企业服务,数据服务"
北京,商业数据分析师,"电商,新零售,数据分析",发展前景好/六险一金/午晚餐/技术大牛,150-500人,Aibee,经验3-5年,A轮,30k-50k,本科及以上,"移动互联网,企业服务"
北京,商业数据分析师,"新零售,数据分析,行业分析,市场分析,消费者分析",带薪年假 商业保险,150-500人,Aibee,经验3-5年,A轮,18k-36k,本科及以上,"移动互联网,企业服务"
北京,市场数据分析师,"本地生活,房产服务,数据库,SQL,数据分析",租房优惠 六险一金 绩效奖金 免费体检,2000人以上,自如网,经验1-3年,A轮,10k-20k,本科及以上,房产家居
北京,市场数据分析师,"视频,直播,数据分析,行业分析,市场分析,市场竞争分析","领导好,弹性工时,五险一金,前景好",,齐聚科技（原呱呱视频）,经验1-3年,C轮,13k-18k,本科及以上,"移动互联网,游戏"
北京,数据分析,"BI,数据分析,SQL,数据库",五险一金，周末双休，带薪年假、节日福利,,有利网,经验3-5年,不需要融资,10k-20k,本科及以上,金融
北京,数据分析,"电商,SQL,数据分析",六险一金，16薪，扁平化管理,,每日优鲜,经验1-3年,D轮及以上,15k-30k,本科及以上,"移动互联网,电商"
北京,数据分析,"电商,广告营销,数据分析,增长黑客,SQL,商业",独立负责 奖金期权多 福利好,500-2000人,微店,经验3-5年,C轮,15k-25k,本科及以上,电商
北京,数据分析,"行业研究,分析师",福利好 待遇高 五险一金,150-500人,北京盛业恒泰投资有限公司,经验1年以下,不需要融资,7k-14k,大专及以上,"移动互联网,金融"
北京,数据分析,互联网金融,公司A轮融资。核心成员来自美国汇丰银行,2000人以上,Maersk,经验3-5年,上市公司,30k-40k,本科及以上,电商
北京,数据分析,"互联网金融,SQL",五险一金 节日福利,150-500人,民生电商,经验3-5年,B轮,20k-30k,大专及以上,"移动互联网,金融"
北京,数据分析,"教育,电商,绩效管理,绩效考核,薪酬福利,人力资源","五险一金,上市公司,万人规模",2000人以上,尚德机构,经验1年以下,上市公司,8k-12k,本科及以上,教育
北京,数据分析,"教育,数据分析,SQL",晋升空间大，培训完善，公司逗比多,50-150人,悠贝 | YOURBAY,经验3-5年,不需要融资,12k-24k,本科及以上,"教育,文娱丨内容"
北京,数据分析,"金融,数据分析","五险一金,定期体检,每月补贴",2000人以上,瑞银信,经验不限,不需要融资,10k-20k,本科及以上,"移动互联网,金融"
北京,数据分析,数据分析,竞争力薪资,2000人以上,新浪网,经验不限,上市公司,15k-25k,本科及以上,文娱丨内容
北京,数据分析,数据分析,双休 五险一金 朝九晚五,150-500人,北京盛业恒泰投资有限公司,经验不限,不需要融资,6k-12k,大专及以上,"移动互联网,金融"
北京,数据分析,"数据分析,Hive",大平台，扁平管理，每周免费电影观看,500-2000人,猫眼电影,经验3-5年,未融资,15k-30k,本科及以上,文娱丨内容
北京,数据分析,"数据分析,SQL,商业,数据运营",六险一金，带薪年假，绩效奖金，福利补贴,,转转,经验3-5年,A轮,15k-25k,本科及以上,"移动互联网,消费生活"
北京,数据分析,"数据分析,数据运营","成熟团队,上升空间",500-2000人,世纪佳缘,经验1-3年,上市公司,8k-15k,本科及以上,移动互联网
北京,数据分析,"数据分析,数据运营,增长黑客","氛围MAX,领导是大牛,免费零食,后花园",150-500人,洛客科技,经验1-3年,不需要融资,8k-12k,本科及以上,移动互联网
北京,数据分析,"数据挖掘,数据分析","团队强悍,待遇丰厚,地铁周边",,Udesk－企业级智能客服平台,经验3-5年,C轮,20k-40k,本科及以上,企业服务
北京,数据分析,"移动互联网,大数据,数据分析,数据库","五险一金,餐补,带薪年假,节假日福利",150-500人,世纪飞育,经验5-10年,未融资,18k-30k,本科及以上,"移动互联网,教育"
北京,数据分析,"移动互联网,数据分析","年底奖金,硅谷文化,技术成长",,大众问问,经验3-5年,不需要融资,15k-30k,本科及以上,"移动互联网,硬件"
北京,数据分析,"直播,数据分析,数据库,SQL",团队氛围轻松融洽 热门行业 发展前景好,,齐聚科技（原呱呱视频）,经验1-3年,C轮,13k-18k,本科及以上,"移动互联网,游戏"
北京,数据分析（HRBI）,"商业,BI,数据分析",优秀团队，发展空间,2000人以上,美团点评,经验5-10年,上市公司,16k-30k,本科及以上,消费生活
北京,数据分析（贷前 贷中）,"数据运营,数据分析",下午茶 活跃工作气氛 帅哥美女如云,2000人以上,和信集团,经验3-5年,不需要融资,12k-17k,本科及以上,金融
北京,数据分析（融资方向）,"BI,SQL,数据库",发展空间大 团队nice,,有利网,经验1-3年,不需要融资,8k-14k,本科及以上,金融
北京,数据分析（业务策略）,数据分析,平台大,2000人以上,美团点评,经验3-5年,上市公司,20k-30k,本科及以上,消费生活
北京,数据分析（游戏项目）,"游戏,大数据,数据分析","年底多薪,弹性办公,精英团队,年度境外游",,Zenjoy,经验3-5年,不需要融资,15k-25k,本科及以上,"移动互联网,游戏"
北京,数据分析（资金方向）,分析师,"氛围棒棒哒,帅哥美女多,专业大牛",2000人以上,美利金融,经验1-3年,B轮,15k-25k,本科及以上,金融
北京,数据分析Leader,"BI,数据分析,SQL,数据库","公司平台好,大牛领导,餐补房补",,VIPKID,经验5-10年,D轮及以上,35k-45k,本科及以上,教育
北京,数据分析产品经理,"数据分析,数据库","阿里平台,年底双薪",2000人以上,阿里巴巴-高德,经验3-5年,上市公司,20k-40k,本科及以上,工具
北京,数据分析负责人,"直播,社交",上市公司，岗位空间，团队氛围，六险一金,,映客,经验5-10年,上市公司,50k-65k,学历不限,文娱丨内容
北京,数据分析负责人（总监）,数据分析,快速发展 团队氛围好,,映客,经验5-10年,上市公司,45k-60k,本科及以上,文娱丨内容
北京,数据分析岗,"大数据,企业服务,数据分析,行业分析,市场分析",五险一金；绩效奖金；福利补贴；早九晚五,150-500人,CAQ,经验应届毕业生,不需要融资,9k-12k,硕士及以上,企业服务
北京,数据分析岗,"电商,SQL",大平台、快速成长通道、福利好,2000人以上,京东数字科技,经验3-5年,上市公司,20k-30k,本科及以上,金融
北京,数据分析岗,"电商,SQLServer",发展前景,2000人以上,京东集团,经验3-5年,上市公司,20k-40k,本科及以上,电商
北京,数据分析岗,数据分析,福利待遇 发展前景,500-2000人,国家电网全资子公司北京汇通金财,经验3-5年,不需要融资,8k-15k,本科及以上,"电商,金融"
北京,数据分析岗,"物流,SQLServer",SQL、AI、数据开发,2000人以上,京东物流,经验3-5年,上市公司,12k-24k,本科及以上,物流丨运输
北京,数据分析岗,"物流,数据分析",京东物流子集团,2000人以上,京东物流,经验5-10年,上市公司,15k-25k,本科及以上,物流丨运输
北京,数据分析岗（物流运营数据）,"物流,数据分析,数据处理,SQLServer",发展空间大 业务高效 团队氛围愉悦,2000人以上,京东物流,经验3-5年,上市公司,15k-20k,本科及以上,物流丨运输
北京,数据分析高级工程师,"大数据,云计算,数据挖掘,数据分析,算法,数据处理",工业互联网，数据分析，数据清洗，建模,2000人以上,金风科技,经验3-5年,上市公司,18k-25k,本科及以上,"硬件,其他"
北京,数据分析高级经理,"可视化,数据分析,数据库,SQL",五险一金，周末双休，带薪年假、节日福利,,有利网,经验5-10年,不需要融资,20k-30k,本科及以上,金融
北京,数据分析高级专家,数据分析,大牛云集，技术导向的团队！,150-500人,Pony.ai 小马智行,经验1-3年,A轮,20k-40k,本科及以上,其他
北京,数据分析高经/专家,"大数据,数据分析",完成6轮融资待上市 仓储物流互联网于一体,2000人以上,美菜网,经验不限,D轮及以上,30k-50k,本科及以上,电商
北京,数据分析工程师,"大数据,金融,数据挖掘,数据分析","大牛如云,技术氛围,大佬领投,待遇给力",,数美,经验1-3年,B轮,20k-40k,本科及以上,"企业服务,数据服务"
北京,数据分析工程师,"互联网金融,数据分析",五险一金、空间大、稳定,,巅峰同道,经验5-10年,B轮,20k-35k,本科及以上,"金融,移动互联网"
北京,数据分析工程师,"互联网金融,移动互联网,数据分析,数据挖掘",六险一金、空间大、稳定,,巅峰同道,经验5-10年,B轮,20k-35k,本科及以上,"金融,移动互联网"
北京,数据分析工程师,"借贷,数据分析,数据处理","优秀团队,大量级项目",500-2000人,奇虎360金融,经验3-5年,上市公司,20k-40k,学历不限,金融
北京,数据分析工程师,数据分析,扁平化管理、晋升渠道透明。,,洋钱罐,经验1-3年,不需要融资,15k-30k,本科及以上,"移动互联网,金融"
北京,数据分析工程师,数据分析,大牛云集、季度奖金、弹性上班、班车,2000人以上,人人公司,经验3-5年,上市公司,15k-25k,本科及以上,"社交,金融"
北京,数据分析工程师,数据分析,十四薪；午餐晚餐；六险一金；地铁周边；,,洋钱罐,经验1-3年,不需要融资,15k-30k,本科及以上,"移动互联网,金融"
北京,数据分析工程师,"数据分析,数据挖掘",明星团队，大牛云集,2000人以上,小米,经验3-5年,D轮及以上,18k-35k,本科及以上,硬件
北京,数据分析工程师,"移动互联网,社交,数据分析,数据库","扁平管理,季度奖金,多次调薪,团队年轻",,巅峰同道,经验3-5年,B轮,15k-30k,本科及以上,"金融,移动互联网"
北京,数据分析-机票事业部(J13017),"数据分析,MySQL,Hive","六险一金,16薪,旅游基金,带薪年假病",,去哪儿网,经验1-3年,不需要融资,10k-20k,本科及以上,旅游
北京,数据分析经理,"大数据,数据分析","周末双休,五险一金,下午茶,活动多",150-500人,DataStory,经验3-5年,B轮,15k-20k,本科及以上,数据服务
北京,数据分析经理,"大数据,数据分析,SPSS","绩效奖金,年底双薪,餐补,房补",2000人以上,自如网,经验5-10年,A轮,15k-30k,本科及以上,房产家居
北京,数据分析经理,"借贷,数据分析,SQL,数据库",六险一金；节假日福利；旅游基金；各种团建,2000人以上,金山办公软件,经验3-5年,上市公司,15k-30k,本科及以上,移动互联网
北京,数据分析经理,数据分析,大平台，班车、餐补,2000人以上,京东物流,经验5-10年,上市公司,14k-24k,本科及以上,物流丨运输
北京,数据分析经理,"数据分析,MySQL,SQLServer",发展空间大,2000人以上,联想集团,经验5-10年,上市公司,25k-35k,本科及以上,"移动互联网,数据服务"
北京,数据分析经理（商业）,"电商,广告营销,数据分析","发展空间大,福利好,团队氛围棒",500-2000人,陌陌,经验3-5年,上市公司,15k-30k,本科及以上,社交
北京,数据分析经理（用户）,数据分析,"平台大,氛围轻松,弹性工作",,VIPKID,经验5-10年,D轮及以上,15k-30k,本科及以上,教育
北京,数据分析-经营,"数据分析,市场分析,行业分析","学习氛围,成长空间,领导nice",2000人以上,京东集团,经验5-10年,上市公司,20k-30k,本科及以上,电商
北京,数据分析决策岗（风险管理部）,"金融,数据分析,数据处理","上升空间大,同事牛人多,薪酬福利好",2000人以上,阳光产险信保事业部,经验3-5年,不需要融资,15k-25k,本科及以上,金融
北京,数据分析课程研究员(J10911),"商业,数据分析",待遇好,,传智播客,经验不限,C轮,30k-50k,本科及以上,教育
北京,数据分析师,"",大数据平台、五险一金、年终奖、司龄津贴,500-2000人,彩讯股份,经验3-5年,上市公司,15k-20k,本科及以上,"移动互联网,消费生活"
北京,数据分析师,"BI,SPSS,SQL",全国500强 晋升平台,2000人以上,京东集团,经验3-5年,上市公司,15k-30k,本科及以上,电商
北京,数据分析师,"BI,SQL,SPSS",成长快、氛围好、领导好,,达达-京东到家,经验3-5年,D轮及以上,20k-30k,本科及以上,消费生活
北京,数据分析师,"BI,SQL,数据库,数据分析","免费三餐,绩效奖金,卓越团队,带薪年假",2000人以上,贝壳,经验3-5年,D轮及以上,20k-30k,本科及以上,房产家居
北京,数据分析师,"BI,可视化,SQL,数据库",16薪 周末双休 极客文化 弹性工作,,喜马拉雅,经验5-10年,D轮及以上,17k-30k,本科及以上,"移动互联网,文娱丨内容"
北京,数据分析师,"BI,数据分析",垂直领先，商业保险、技术氛围,500-2000人,宝宝树,经验3-5年,D轮及以上,20k-30k,本科及以上,社交
北京,数据分析师,"BI,数据分析",团队氛围好、发展空间大,,VIPKID,经验1-3年,D轮及以上,15k-25k,本科及以上,教育
北京,数据分析师,"BI,数据分析,SQL",大平台 发展快 带薪旅游 体检,,居理新房,经验3-5年,B轮,15k-20k,本科及以上,移动互联网
北京,数据分析师,"Hive,MySQL,Oracle",五险一金、带薪年假、弹性工作、节日福利,2000人以上,玖富数科集团,经验1-3年,D轮及以上,15k-25k,本科及以上,金融
北京,数据分析师,MySQL,"15薪,13天年假,三餐，每月3天病假",2000人以上,贝壳,经验3-5年,D轮及以上,15k-25k,本科及以上,房产家居
北京,数据分析师,"MySQL,Scala,数据分析",福利好，成长高,2000人以上,贝壳,经验3-5年,D轮及以上,30k-50k,本科及以上,房产家居
北京,数据分析师,"SPSS,BI,可视化,数据分析",五险一金 绩效奖金 交通补助 带薪年假,2000人以上,畅游,经验3-5年,上市公司,15k-30k,本科及以上,"移动互联网,游戏"
北京,数据分析师,"SPSS,SQL,数据分析",六险一金、弹性上下班、16薪,500-2000人,旅悦,经验3-5年,不需要融资,20k-30k,本科及以上,旅游
北京,数据分析师,"SPSS,数据分析,SQL",年度奖金 弹性工作 发展空间,150-500人,前线科技,经验3-5年,天使轮,15k-25k,本科及以上,"移动互联网,金融"
北京,数据分析师,"SQL,BI,可视化,数据分析",带薪年假 商业保险,150-500人,Aibee,经验3-5年,A轮,20k-40k,本科及以上,"移动互联网,企业服务"
北京,数据分析师,"SQL,SPSS",成长空间大，五险一金,2000人以上,玖富数科集团,经验3-5年,D轮及以上,15k-30k,本科及以上,金融
北京,数据分析师,"SQL,SPSS",大平台，工作氛围好,2000人以上,汽车之家,经验3-5年,上市公司,15k-25k,本科及以上,汽车丨出行
北京,数据分析师,"SQL,SPSS,数据运营,数据分析",电影项目分析调研,500-2000人,猫眼电影,经验1-3年,未融资,10k-18k,本科及以上,文娱丨内容
北京,数据分析师,"SQL,可视化,数据分析,增长黑客",硅谷技术，多元数据，股票期权,,轻趣,经验1-3年,天使轮,20k-40k,硕士及以上,移动互联网
北京,数据分析师,"SQL,数据分析",成长空间大，五险一金,2000人以上,玖富数科集团,经验1-3年,D轮及以上,10k-20k,本科及以上,金融
北京,数据分析师,"本地生活,数据分析,数据运营,SQL,BI",餐补，话补，交通补，全额公积金，带薪病假,150-500人,北京合生活网络科技有限公司,经验3-5年,不需要融资,15k-20k,本科及以上,消费生活
北京,数据分析师,大数据,"带薪休假,年度旅游,五险一金,绩效奖励",,百融云创,经验应届毕业生,C轮,10k-20k,本科及以上,金融
北京,数据分析师,大数据,"年度旅游,带薪休假,绩效奖励,五险一金",,百融云创,经验应届毕业生,C轮,10k-20k,本科及以上,金融
北京,数据分析师,大数据,七险一金、15-20薪、牛人团队,500-2000人,微聚未来,经验1-3年,不需要融资,10k-20k,本科及以上,"移动互联网,金融"
北京,数据分析师,大数据,薪资open，国资背景,2000人以上,深圳知云网络科技有限公司,经验3-5年,未融资,20k-40k,硕士及以上,企业服务
