城市名称,标题,地点,岗位标签,岗位福利,公司规模,公司名称,融资情况,经验,所属行业,薪资,学历
北京,数据挖掘工程师-用户产品方向,北京,数据挖掘,六险一金，弹性工作，免费三餐，租房补贴,2000人以上,字节跳动,C轮,经验1-3年,文娱丨内容,20k-35k,本科及以上
北京,数据挖掘工程师-增长策略方向,北京,数据挖掘,六险一金，弹性工作，免费三餐，租房补贴,2000人以上,字节跳动,C轮,经验3-5年,文娱丨内容,30k-60k,本科及以上
北京,数据挖掘工程师专家,北京,"电商,移动互联网,数据挖掘",具有挑战力的落地应用场景，成长空间,,车好多集团,D轮及以上,经验3-5年,消费生活,30k-60k,硕士及以上
北京,数据挖掘工程师专家,北京,"算法,数据挖掘,人工智能,机器学习",全年最高19薪+六险一金+靠谱团队,2000人以上,瓜子二手车,A轮,经验应届毕业生,"移动互联网,电商",21k-40k,硕士及以上
北京,数据挖掘工程师专家(J13721),北京,数据挖掘,完成6轮融资待上市 仓储物流互联网于一体,2000人以上,美菜网,D轮及以上,经验5-10年,电商,30k-50k,本科及以上
北京,数据挖掘工程师专家（智能...,北京,"电商,移动互联网,机器学习,数据挖掘",一线互联网技术背景+全年最高19薪,H CAPITAL、招银电信基金、首钢基金、红杉资本、经纬创投、蓝驰创投等(B轮)，红杉资本、光信资本，山行资本、微光创投、风云天使基金、诺伟其投资、经纬中国等(A轮),车好多集团,D轮及以上,经验3-5年,消费生活,30k-60k,学历不限
北京,数据挖掘架构师,北京,"数据架构,数据挖掘,算法","牛人团队,带薪年假,16薪考核,快速成长",500-2000人,微聚未来,不需要融资,经验5-10年,"移动互联网,金融",40k-60k,本科及以上
北京,数据挖掘经理,北京,"数据挖掘,算法",技术大牛，工作氛围好，行业领先,150-500人,永洪科技,C轮,经验5-10年,企业服务,30k-40k,本科及以上
北京,数据挖掘模型开发工程师（...,北京,"数据挖掘,数据分析",优秀团队、免费零食水果、地铁周边,红杉中国(A轮),融慧金科,A轮,经验应届毕业生,"金融,数据服务",4k-5k,本科及以上
北京,数据挖掘深度学习算法工程...,北京,滴滴,成熟团队 核心业务,2000人以上,滴滴,不需要融资,经验3-5年,汽车丨出行,30k-55k,本科及以上
